ID,X,Y,Z
320,0.0271,-0.3602,1.1578
321,0.0271,-0.3307,0.9994
322,-0.0266,-0.1896,1.2866
323,0.0548,-0.2376,1.3287
324,0.0309,-0.3532,1.3019
325,0.0806,-0.4367,1.1186
326,-0.0352,-0.5118,1.1468
327,0.0484,-0.5496,1.2291
328,0.0376,-0.589,1.2711
329,-0.0348,-0.6037,1.2545
330,-0.0216,-0.5574,1.1887
331,0.0203,-0.6269,1.2039
332,0.0496,-0.6798,1.1746
333,0.3396,-0.4152,1.0088
334,0.1929,-0.5108,1.1748
335,0.2801,-0.5598,1.0121
336,0.0891,-0.3482,0.954
337,0.3725,-0.7456,1.3491
338,0.1351,-0.6849,1.2629
339,0.0154,-0.3414,1.2517
340,0.1454,-0.2726,0.9981
341,0.3435,-0.6154,0.994
342,0.4249,-0.9942,0.6935
343,0.3547,-0.5741,1.0397
344,0.1789,-0.5256,0.8989
345,0.4919,-0.6327,1.4463
346,0.3876,-0.3496,1.1746
347,0.439,-0.7292,1.0983
348,0.4353,-0.7153,1.2846
349,0.3935,-0.6463,1.408
350,0.228,-0.4969,1.0292
351,-0.0258,-0.3624,1.3489
352,0.4797,-0.4429,1.0642
353,0.4423,-0.4005,1.113
354,0.5141,-0.4579,1.4603
355,0.424,-0.4277,1.4536
356,0.3642,-0.4297,1.0754
357,0.3553,-0.3281,1.2512
358,0.3361,-0.3573,1.0552
359,0.3608,-0.3303,1.1586
360,0.4457,-0.2399,1.4774
361,0.2993,-0.3353,1.0431
362,0.1761,-0.4732,1.353
363,0.3016,-0.7335,1.3606
364,0.3322,-0.2619,1.3941
365,0.0655,-0.3358,1.5344
366,0.4465,-0.3522,1.4337
367,0.0828,-0.4518,1.1714
368,0.0836,-0.32,1.1576
369,0.0506,-0.4431,1.3594
370,0.0731,-0.4489,1.2417
371,0.0286,-0.474,1.3525
372,0.0698,-0.4795,1.3502
373,0.0172,-0.4632,1.4235
374,0.0779,-0.5326,1.3296
375,0.0891,-0.6162,1.4188
376,0.3605,-0.5058,1.225
377,0.1239,-0.4996,1.1554
378,0.0859,-0.6399,1.4387
379,0.0689,-0.5165,1.2189
380,0.2338,-0.5668,1.2471
381,0.3567,-0.7323,1.3984
382,0.3748,-0.6682,1.3559
383,0.2006,-0.7801,1.1917
384,0.4146,-0.7665,1.295
385,0.1603,-0.5259,0.7854
386,0.4164,-0.4806,1.5032
387,0.4032,-0.5279,1.2443
388,0.4083,-0.5837,1.4156
389,0.6097,-0.9048,1.2709
390,0.4073,-0.5118,1.4942
391,0.3909,-0.4214,1.2072
392,0.4634,-0.3284,1.5207
393,0.4057,-0.3657,1.2846
394,0.3333,-0.5047,1.0263
395,0.4172,-0.3603,1.2111
396,0.598,-0.3027,1.1905
397,0.3492,-0.4128,1.1304
398,-0.5142,-0.5081,1.7383
399,0.5062,-0.8049,0.8676
400,0.1143,-0.8266,1.5697
401,0.2632,-0.4438,1.3754
402,0.2386,-0.3694,1.606
403,0.1835,-0.508,1.5979
404,0.125,-0.3429,1.6231
405,0.0514,-0.5233,1.4812
406,0.1067,-0.4103,1.385
407,0.0466,-0.3952,1.3134
408,0.0639,-0.3263,1.4908
409,0.0766,-0.3345,1.5573
410,0.0343,-0.3948,1.4031
411,0.017,-0.4357,1.4597
412,0.0284,-0.4411,1.4602
413,0.1141,-0.5555,1.2087
414,0.0777,-0.6049,1.5156
415,-0.2272,-0.676,1.2495
416,0.1094,-0.5885,1.5201
417,0.091,-0.6977,1.5008
418,0.0965,-0.5812,1.314
419,0.0659,-0.6163,1.4948
420,0.3379,-0.7744,1.5948
421,0.3519,-0.6351,1.3428
422,0.4059,-0.6329,1.3286
423,0.442,-0.714,1.4049
424,0.3154,-0.5486,1.4621
425,0.3677,-0.49,1.6392
426,0.6721,-0.9164,1.0332
427,0.3158,-0.3978,1.3796
428,0.4251,-0.4022,1.4196
429,-1.2333,-0.4708,1.7053
430,0.2717,-0.3182,1.7108
431,0.2118,-0.3912,1.5758
432,0.4037,-0.3609,1.3903
433,0.4182,-0.3635,1.3855
434,0.3812,-0.3791,1.628
435,0.2578,-0.2326,1.6069
436,0.2137,-0.5506,1.2117
437,0.1727,-0.6266,1.3084
438,0.2168,-0.4733,1.7113
439,0.3534,-0.482,1.5135
440,0.1317,-0.3722,1.7069
441,0.0978,-0.4455,1.4263
442,0.1408,-0.5006,1.4605
443,0.0697,-0.4805,1.6406
444,0.0748,-0.4297,1.6473
445,0.145,-0.4861,1.7282
446,0.1367,-0.5617,1.6051
447,0.1239,-0.5009,1.6748
448,0.2678,-0.6348,1.6994
449,0.2895,-0.5253,1.3977
450,0.369,-0.6434,1.4074
451,0.5238,-0.5846,1.8367
452,1.0583,-0.3229,2.0227
453,0.1736,-0.5833,1.1852
454,0.2601,-0.2917,1.685
455,0.3164,-0.3817,1.4456
456,0.3047,-0.4041,1.7121
457,0.251,-0.4306,1.762
458,0.151,-0.6079,1.5746
459,0.2173,-0.5499,1.7219
460,0.2873,-0.2422,1.7133
461,0.2559,-0.3063,1.7586
462,0.2626,-0.313,1.7737
463,0.3126,-0.3898,1.7965
464,0.3562,-0.4515,1.7832
465,0.2647,-0.5051,1.6393
466,0.2338,-0.5578,1.7138
